
 20230615	00:25:46 	a8c19ded-21b9-4c4a-872f-6e95efdbb1a7 	/images/meat.jpg	GET 
 20230615	00:25:46 	a42d10a1-a6b6-412c-b9d3-38a1cbdfab61 	/images/vegetarian.jpg	GET 
 20230615	00:25:46 	5266cbf3-0833-4abd-a59d-f7a459a96211 	/images/dairy.jpg	GET 
 20230615	00:25:46 	f836c700-c066-4cda-9ac0-3766c963e440 	/images/fruit_and_veg.jpg	GET 
 20230615	00:25:46 	e117e178-a0ac-43f0-bdf2-cdd8b5d80250 	/images/bakery.jpg	GET 
 20230615	00:25:46 	f27cc1b0-6f44-4e15-bcda-41cdee4594f7 	/images/pastry.jpg	GET 
 20230615	00:25:46 	c930d9bf-6d71-4088-be7b-836904afe390 	/id.js	GET 
 20230615	00:25:46 	91216e6b-150e-427b-b852-c3c82eed8f77 	/shopping.json	GET 
 20230615	00:25:46 	664c7f59-2340-4311-9f5c-d729c94ae629 	/images/hot_drinks.jpg	GET 
 20230615	00:25:46 	f0469aa1-70f8-4499-97df-75732ce37a80 	/images/cold_drinks.jpg	GET 
 20230615	00:25:46 	98d4c1ff-15c2-47ea-9710-df4acdd0bdc8 	/images/alcohol_1.jpg	GET 
 20230615	00:25:46 	a1f0a530-9a17-42e6-babd-905c148e399c 	/images/toiletries.jpg	GET 
 20230615	00:25:46 	a6f27bf1-f22e-4b42-9ab2-bafb712040de 	/images/cleaning.jpg	GET 
 20230615	00:25:46 	1a6df9fa-ef90-4c61-b163-5e8ca7cde768 	/images/misc.jpg	GET 
 20230615	00:25:46 	52d401cf-a983-467e-921a-62c8abf9e55b 	/home_icon.png	GET 
 20230615	00:25:46 	6c0436ea-72a8-4c0f-b256-598e8e7bb0b0 	/back_arrow_2.png	GET 
 20230615	00:25:46 	0c0abcd5-127c-488d-8d12-ee2565519d0e 	/add_icon.png	GET 
 20230615	00:25:46 	9ee064ca-dc19-488f-bec2-9bb1e1fe37bb 	/save_icon.jpg	GET 
 20230615	00:25:46 	883fe136-39e3-42b0-976f-a3d7c2cc73a2 	/upload_icon.png	GET 
 20230615	00:25:48 	085c3be9-1f70-4de3-97d0-92c1688e2375 	/images%20meat/bacon.jpg	GET 
 20230615	00:25:48 	2ad8723d-070b-4ed1-a101-86f0ec938349 	/images%20meat/tortelloni%20meat.jpg	GET 
 20230615	00:25:48 	ae56368e-8d18-4846-af4f-8f5a9119f4e6 	/images%20meat/quiche%20meat.jpg	GET 
 20230615	00:25:52 	e1d6c9ec-c027-4cf3-9880-5b9f97031a0b 	/style.css	GET 
 20230615	00:25:55 	4dabdd0d-c4dc-4052-97df-5596c1922d23 	/images_fish/crab_sticks.jpg	GET 
 20230615	00:25:55 	04cd3b57-41a9-4dd3-86a3-a4763bb17cdb 	/images_fish/fish_cakes.jpg	GET 
 20230615	00:28:54 	b6680e25-9d60-4334-8b07-45def7a5f826 	/	GET 
 20230615	00:28:54 	ffa61a72-f3f6-486c-9e47-d1fc333037d8 	/style.css	GET 
 20230615	00:28:54 	c162a2fc-f633-4f46-acbe-0cfe5f4d8950 	/script.js	GET 
 20230615	00:28:54 	932ea8f9-61da-4a52-a4f1-bed972f76eb1 	/images/fish_2.jpg	GET 
 20230615	00:28:54 	2c46a8b0-0812-4e70-b810-809bb8f7796f 	/images/meat.jpg	GET 
 20230615	00:28:54 	c7fef775-f97a-4219-9df3-31edfab899e6 	/images/vegetarian.jpg	GET 
 20230615	00:28:54 	0158c326-0634-4f3b-8f35-d73d12018871 	/images/dairy.jpg	GET 
 20230615	00:28:54 	16d7d3e5-c3a9-466e-901a-defbeab88e6b 	/images/fruit_and_veg.jpg	GET 
 20230615	00:28:54 	f1b3a1f2-001c-41ee-a780-538bb0e91c38 	/images/bakery.jpg	GET 
 20230615	00:28:54 	bc6981be-185a-439d-9b2d-eec2526bcb2c 	/images/pastry.jpg	GET 
 20230615	00:28:54 	ec22eb75-ad74-4b9b-88f3-b1e632715abb 	/images/hot_drinks.jpg	GET 
 20230615	00:28:54 	8664aea5-6e5f-49be-a114-10627e4323d7 	/images/cold_drinks.jpg	GET 
 20230615	00:28:54 	18714c99-064a-4cca-b2e2-9cf9ee1552d7 	/images/alcohol_1.jpg	GET 
 20230615	00:28:54 	f5bce51d-b743-4f56-937e-d8be0fd75792 	/images/toiletries.jpg	GET 
 20230615	00:28:54 	67edf88f-4b17-4297-9166-90117c5acf2a 	/images/cleaning.jpg	GET 
 20230615	00:28:54 	58f126de-434a-41d1-8fc9-09331948d221 	/images/misc.jpg	GET 
 20230615	00:28:54 	038be8e8-7df0-419e-8783-e1fa14ca559c 	/home_icon.png	GET 
 20230615	00:28:54 	430a36ba-b2eb-46c6-bac4-291bc68cd33d 	/back_arrow_2.png	GET 
 20230615	00:28:54 	e85f5f8b-7a2e-41ed-a9f1-625756b06ca8 	/add_icon.png	GET 
 20230615	00:28:54 	33c6ac8d-54d9-4cd4-8336-fdf4de107bef 	/save_icon.jpg	GET 
 20230615	00:28:54 	fafeba15-ad0a-45bf-8fa5-f76534b269ea 	/upload_icon.png	GET 
 20230615	00:28:54 	e9fa8018-b3a3-429f-827c-0dd0d55799d0 	/id.js	GET 
 20230615	00:28:54 	031bf2a3-17cc-4163-b503-b3db37bfee91 	/shopping.json	GET 
 20230615	00:28:56 	891830af-f5e5-45bc-83de-dd4de3ba5d84 	/images_meat/bacon.jpg	GET 
 20230615	00:28:56 	96874c9c-e5e5-429e-b77f-89cf424495ef 	/images_meat/tortelloni_meat.jpg	GET 
 20230615	00:28:56 	0daf322f-6fb7-46d3-8a39-f27428641dc6 	/images_meat/quiche_meat.jpg	GET 
 20230615	00:29:50 	5acc7437-3ba9-484a-a85e-b280c1f69536 	/	GET 
 20230615	00:29:50 	9dad3fe2-2423-468b-a7f6-067075eca022 	/style.css	GET 
 20230615	00:29:50 	a272ab0d-d52a-4165-b458-cb8c3dd16b80 	/script.js	GET 
 20230615	00:29:50 	7ab71210-8b15-45ec-8bb1-8fd70e834980 	/images/fish_2.jpg	GET 
 20230615	00:29:50 	3ddf226f-1ae7-4db7-9873-23dfb8f2d060 	/images/meat.jpg	GET 
 20230615	00:29:50 	0ec3338f-c733-432e-b3be-8a4e0a642f7c 	/images/vegetarian.jpg	GET 
 20230615	00:29:50 	38add121-34d8-4b91-81d0-212d6fd2c856 	/images/dairy.jpg	GET 
 20230615	00:29:50 	60f1a491-eabc-4b5e-8717-e5645645d7a3 	/images/fruit_and_veg.jpg	GET 
 20230615	00:29:50 	44f56348-1e7c-4a56-ad81-9bd36d23435a 	/images/bakery.jpg	GET 
 20230615	00:29:50 	04595348-f7f7-4d5f-9aea-8d9e8222fdb5 	/images/pastry.jpg	GET 
 20230615	00:29:50 	b76cd229-946f-4334-a47c-62d935690dd1 	/images/cold_drinks.jpg	GET 
 20230615	00:29:50 	99ce6528-bde7-4bcf-86a6-6f83ff5a7771 	/images/alcohol_1.jpg	GET 
 20230615	00:29:50 	7ae15465-50d5-442c-b1aa-a78ab6ec9c5f 	/images/hot_drinks.jpg	GET 
 20230615	00:29:50 	ce10984f-3b8b-408c-bb82-c7406ef3d011 	/images/toiletries.jpg	GET 
 20230615	00:29:50 	27b8c5fd-a0cb-4cdf-ab8b-ff7fe6ac93c3 	/id.js	GET 
 20230615	00:29:50 	30de6a92-706f-4fb1-b7b6-872c8fe0aa64 	/shopping.json	GET 
 20230615	00:29:50 	4b021877-e84a-43aa-923f-2fbbb8146b28 	/images/cleaning.jpg	GET 
 20230615	00:29:50 	3e1c50df-0471-4b4a-90da-7c1319e7b933 	/images/misc.jpg	GET 
 20230615	00:29:50 	ad754fe7-4ca1-4b25-9232-1ec3be0c5f6b 	/home_icon.png	GET 
 20230615	00:29:50 	a8cf00ce-fb73-4b80-890b-236fcbfecb7d 	/back_arrow_2.png	GET 
